<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ADC,20260812,18,18,18,18,100
ALT,20260812,12,12,12,12,100
AME,20260812,6,6,6,6,13000
AMV,20260812,1.2,1.3,1.2,1.2,327700
API,20260812,5.7,5.7,5.6,5.7,61100
APS,20260812,6.4,6.5,6.3,6.3,76200
BAB,20260812,10.7,10.8,10.6,10.8,22400
BCC,20260812,6.1,6.1,6,6.1,20000
BCF,20260812,39.7,39.7,39.7,39.7,400
BKC,20260812,13.9,13.9,13.6,13.7,7500
BTS,20260812,4.9,5,4.9,5,1800
BVS,20260812,27.2,27.5,26.8,27,722000
C69,20260812,17.4,17.8,16.4,17.2,355500
CAG,20260812,5.7,5.7,5.7,5.7,1100
CAP,20260812,43.9,43.9,43,43.7,18600
CDN,20260812,25.4,25.5,25.3,25.4,5400
CEO,20260812,12.2,12.4,12.1,12.3,3669700
CIA,20260812,9.4,9.4,9.3,9.3,9500
CLH,20260812,20.7,20.7,20.6,20.6,1600
CMS,20260812,6.3,6.3,6,6.1,36700
CPC,20260812,16.6,16.6,16.6,16.6,100
CSC,20260812,10.5,10.5,10.1,10.4,8300
CST,20260812,10,10.1,10,10.1,1300
CTP,20260812,7.3,7.3,6.9,7.1,55000
DAD,20260812,14.5,14.5,14.5,14.5,500
DC2,20260812,5.5,6.1,5.5,6,2900
DHT,20260812,60,60,55.6,56.3,3200
DIH,20260812,7.4,7.4,7.4,7.4,200
DL1,20260812,4.5,4.6,4.5,4.6,158300
DP3,20260812,60.7,60.7,60,60.3,1700
DST,20260812,9.7,9.7,8.7,9.2,52400
DTD,20260812,12,12.1,11.9,12.1,72900
DTG,20260812,15.2,15.2,14.4,14.4,300
DTK,20260812,12.2,12.2,11.4,11.4,700
DVM,20260812,5.2,5.3,5.1,5.3,90500
DXP,20260812,14.5,14.7,14.2,14.3,192500
EID,20260812,19.1,19.1,19,19,5300
EVS,20260812,5.8,5.8,5.7,5.8,90600
GIC,20260812,11.8,11.8,11.5,11.5,4800
GMX,20260812,16,16,16,16,100
HCC,20260812,28,28.1,28,28,18200
HDA,20260812,6.5,6.8,6.5,6.6,88700
HGM,20260812,132,134.5,129.8,134.5,22300
HHC,20260812,80,87.5,80,85.5,3400
HJS,20260812,27.1,28,27,28,2100
HKT,20260812,13.8,13.8,13.5,13.8,32500
HLC,20260812,10.4,10.4,10.4,10.4,600
HLD,20260812,13.3,14,13.3,13.9,13600
HMR,20260812,9.7,9.7,9.7,9.7,1000
HOM,20260812,3.9,3.9,3.9,3.9,1800
HTC,20260812,33,35,33,35,600
HUT,20260812,13.6,14,13.6,13.6,2731900
HVT,20260812,23.7,23.7,23.5,23.6,3400
ICG,20260812,15.3,15.3,15.2,15.2,10000
IDC,20260812,34,34.4,33.5,34.3,875000
IDJ,20260812,3.8,3.8,3.6,3.7,665100
IDV,20260812,20.3,20.3,20,20.2,9500
INN,20260812,36.1,36.1,36.1,36.1,700
IPA,20260812,15.5,15.5,15.3,15.5,6800
ITQ,20260812,2.7,2.7,2.6,2.6,64600
IVS,20260812,6.5,6.6,6.4,6.4,47700
KDM,20260812,20.2,20.2,20,20.1,47100
KHS,20260812,13.1,13.2,13.1,13.2,1100
KSF,20260812,81,81.5,80.8,80.9,135300
KSV,20260812,122.7,122.7,118.8,120.2,33000
KTS,20260812,17.1,18.3,17.1,18.3,14600
L14,20260812,23.8,24.2,22.5,23.6,192100
L18,20260812,15.3,15.3,14.6,15.3,1000
L40,20260812,22.9,22.9,22.4,22.7,113600
LAS,20260812,12.4,12.5,12.2,12.3,83000
LBE,20260812,14,14.4,14,14.2,33300
LDP,20260812,8,8.1,7.9,8,69000
LHC,20260812,46,46,46,46,100
LIG,20260812,3.3,3.4,3.2,3.3,36400
MAC,20260812,11.6,11.9,11.6,11.9,600
MBG,20260812,2.3,2.4,2.2,2.4,93600
MBS,20260812,18.8,19,18.7,18.8,2630100
MCF,20260812,7,7,7,7,3900
MCO,20260812,4.8,5.1,4.8,5.1,9800
MDC,20260812,8.7,8.7,8.1,8.7,300
MEL,20260812,6.2,6.2,6.1,6.1,300
MIC,20260812,10,10,10,10,400
MKV,20260812,12.8,12.8,12.8,12.8,100
MST,20260812,10.4,10.5,10.3,10.4,376200
MVB,20260812,14.3,15.4,14.3,15.4,200
NAG,20260812,7.2,7.2,7,7.1,53200
NAP,20260812,10.8,10.8,10.8,10.8,1000
NBC,20260812,7.5,7.6,7.5,7.5,40400
NBP,20260812,7.2,7.2,7.2,7.2,2200
NDN,20260812,9,9.2,9,9.2,179000
NET,20260812,60,60.1,60,60,22700
NRC,20260812,4.8,4.9,4.7,4.7,353200
NSH,20260812,4.3,4.4,4.3,4.3,3800
NTP,20260812,48.9,49.1,48.3,48.8,57100
NVB,20260812,11.2,11.4,11,11.3,536400
OCH,20260812,6.4,6.4,6.3,6.3,4400
ONE,20260812,11.2,11.2,9.9,10.8,300
PCH,20260812,18.1,18.2,18,18.2,87300
PCT,20260812,9.1,10.2,9.1,10.2,1100
PDB,20260812,23.1,24,22.8,22.8,13300
PGN,20260812,5.5,5.5,5.4,5.4,700
PGS,20260812,61.2,61.2,61.2,61.2,100
PGT,20260812,6.3,6.7,6.3,6.7,800
PHN,20260812,58,58,58,58,100
PIC,20260812,13.8,13.8,13.8,13.8,100
PJC,20260812,36,36,36,36,100
PLC,20260812,20.3,20.9,20.1,20.8,265300
PMC,20260812,126.2,130,125.9,130,1900
POT,20260812,18.9,18.9,18.9,18.9,200
PPP,20260812,18.5,18.5,18.5,18.5,100
PPT,20260812,15.1,15.2,15,15.1,172200
PPY,20260812,6.9,7.2,6.9,7,16100
PRC,20260812,10,10,10,10,200
PRE,20260812,29.5,29.5,29.3,29.3,1700
PSD,20260812,12.6,12.8,12.4,12.4,130900
PSI,20260812,9.8,9.8,9.6,9.6,170300
PSW,20260812,8,8.3,7.9,8.2,27700
PTI,20260812,18.3,19.3,18.3,19.3,2200
PTS,20260812,9.9,9.9,9.9,9.9,100
PTX,20260812,20.6,20.7,20.6,20.7,14700
PV2,20260812,1.9,1.9,1.8,1.8,74200
PVB,20260812,21.2,22,21.1,21.4,121100
PVC,20260812,12.2,12.7,12.1,12.6,888500
PVG,20260812,5.6,5.8,5.6,5.7,20900
PVI,20260812,68.6,68.6,67.8,68,11600
PVS,20260812,35,36,34.6,35.6,1850400
RCL,20260812,11.1,11.3,11.1,11.3,6600
S99,20260812,8,8.3,7.9,8.2,26100
SAF,20260812,56.5,56.5,56.5,56.5,2200
SCG,20260812,65.2,65.5,65.2,65.4,20100
SCI,20260812,10.8,10.9,10.5,10.5,56200
SD5,20260812,7,7,7,7,1200
SD9,20260812,10.2,10.2,10.2,10.2,1100
SEB,20260812,43,43,43,43,100
SED,20260812,15.1,15.4,15.1,15.4,3300
SFN,20260812,22.6,22.6,22.6,22.6,100
SGC,20260812,104.5,104.5,104.5,104.5,2500
SHE,20260812,6.9,7.3,6.7,7.3,2200
SHN,20260812,7.7,8.1,7.7,7.9,80700
SHS,20260812,16,16.1,15.8,15.9,6152500
SJ1,20260812,14.9,15.8,14.9,15.8,500
SJE,20260812,12.8,12.8,12.4,12.8,51200
SLS,20260812,134.8,135,133,133.5,2600
SMN,20260812,6.3,6.3,6.3,6.3,2100
SMT,20260812,10.9,11,9.9,9.9,36100
SSM,20260812,4.5,4.5,4.5,4.5,300
SVN,20260812,3.1,3.3,3.1,3.3,791500
SZB,20260812,39.8,39.8,39.8,39.8,1000
TA9,20260812,10.1,10.2,10,10.2,5300
TD6,20260812,5.9,6,5.9,5.9,17400
TDT,20260812,6.9,6.9,6.8,6.8,49400
TET,20260812,52,52,52,52,300
THD,20260812,151,151,147,147.7,15000
THT,20260812,7.3,7.4,7.3,7.4,3200
TIG,20260812,5.9,5.9,5.8,5.8,75300
TJC,20260812,9.9,9.9,9,9,6200
TKU,20260812,11.2,11.5,11.2,11.5,2500
TMB,20260812,48,48.8,48,48.8,200
TMC,20260812,6.9,6.9,6.4,6.4,1100
TNG,20260812,17.3,17.4,17.1,17.1,303300
TSB,20260812,21.6,23,21.3,21.3,14000
TTC,20260812,9,9,9,9,2600
TTH,20260812,2,2.1,2,2,51900
TTL,20260812,7.7,7.7,7.7,7.7,100
TTT,20260812,31.5,31.8,31.5,31.8,1400
TV4,20260812,13,13,12.9,12.9,1900
TVC,20260812,8.1,8.1,8,8,11300
TVD,20260812,8.8,8.9,8.8,8.9,1900
TXM,20260812,4.1,4.5,4.1,4.5,800
UNI,20260812,6.6,6.6,6.6,6.6,1000
VBC,20260812,17,17,17,17,200
VC2,20260812,3.8,3.9,3.8,3.9,43000
VC3,20260812,25.7,25.8,25.5,25.8,1116000
VC6,20260812,18.8,18.8,18.8,18.8,200
VC7,20260812,7.2,7.3,7.2,7.2,168500
VC9,20260812,4.4,4.4,4.4,4.4,15400
VCM,20260812,5.5,6.2,5.5,6.2,21700
VCS,20260812,33.6,33.8,33.5,33.7,22900
VDL,20260812,10.8,10.8,10.8,10.8,800
VE1,20260812,2.9,2.9,2.9,2.9,1200
VFS,20260812,10.1,10.3,9.9,10,667800
VGP,20260812,27.5,27.7,27.5,27.7,22600
VGS,20260812,18.1,18.5,18.1,18.4,134800
VHE,20260812,2.9,3,2.9,3,104900
VIF,20260812,14.7,15.5,13.8,15.5,16300
VIG,20260812,4.2,4.2,4.1,4.2,43400
VMC,20260812,3.9,3.9,3.9,3.9,100
VNC,20260812,36,36,36,36,100
VNF,20260812,12.8,12.8,12.8,12.8,200
VNR,20260812,18.5,18.5,18.4,18.5,6800
