<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAH,20260813,1.9,2,1.9,2,1927500
AAS,20260813,7.4,7.5,7.2,7.2,446200
AAV,20260813,6.1,6.2,6.1,6.2,54300
ABB,20260813,16.9,16.9,16.6,16.7,2519000
ABC,20260813,10.4,10.4,10.4,10.4,200
ABI,20260813,18.8,18.8,18.6,18.8,22000
ABW,20260813,14.1,14.2,14.1,14.1,448700
ACE,20260813,37.5,37.7,36.9,37.6,2500
ACV,20260813,41.5,41.8,40.7,41,427900
AGP,20260813,30.4,30.4,30.2,30.2,7800
AIG,20260813,48.6,49.5,47.7,49,57500
ALC,20260813,21.2,21.3,20.5,20.6,7400
ALV,20260813,7,7,6.8,6.8,2200
AMP,20260813,15.5,15.5,15.5,15.5,10900
AMS,20260813,6.9,7,6.9,6.9,28000
APC,20260813,5.6,5.6,5.4,5.4,2000
APF,20260813,45.2,45.5,45.2,45.3,4800
APP,20260813,4,4.2,3.5,4.2,6300
AVC,20260813,40.1,40.1,40.1,40.1,100
AVG,20260813,8.6,8.6,8.2,8.5,18200
BAL,20260813,8.5,8.5,8.5,8.5,100
BBT,20260813,12.9,13.5,12.8,13.2,38200
BCA,20260813,20,20,18.1,18.1,2500
BCP,20260813,9.5,10,9.5,10,5000
BHA,20260813,21.5,21.5,21.5,21.5,900
BIG,20260813,5.1,5.1,4.8,4.9,501800
BLF,20260813,2.7,2.7,2.7,2.7,200
BLT,20260813,18,18,18,18,100
BMJ,20260813,13.4,13.6,13.4,13.6,2000
BMK,20260813,11.1,11.7,11,11,6800
BMS,20260813,13.2,13.3,13.1,13.2,116600
BMV,20260813,3.1,3.1,3.1,3.1,1200
BRS,20260813,21.1,21.1,19.9,19.9,900
BSA,20260813,19.9,19.9,19.9,19.9,2000
BSH,20260813,17.7,17.7,17.7,17.7,500
BSL,20260813,13,13,12.7,12.7,25000
BTH,20260813,20.3,20.3,20.2,20.2,300
BWS,20260813,32.6,32.6,32.6,32.6,2000
C4G,20260813,5.8,5.9,5.7,5.7,551500
C92,20260813,3.6,3.6,3.6,3.6,300
CAT,20260813,14,14,13.7,13.8,26100
CBS,20260813,24.9,25.4,24.6,24.6,4100
CC1,20260813,38,38,38,38,400
CCA,20260813,12.8,12.8,12.5,12.5,1100
CCS,20260813,7.2,7.6,6.7,6.7,7700
CDR,20260813,4.6,4.6,4.6,4.6,1600
CGV,20260813,3.1,3.1,3,3,1100
CHS,20260813,11,11,11,11,2500
CIP,20260813,1.6,1.6,1.6,1.6,3900
CKA,20260813,69,69.3,68.7,68.9,4700
CKD,20260813,20.1,20.1,20.1,20.1,100
CLI,20260813,27.8,27.8,27.2,27.2,95700
CLX,20260813,13.3,13.3,13.2,13.2,22900
CMD,20260813,18,18,17.9,17.9,1900
CMF,20260813,345,345,345,345,500
CMN,20260813,17.6,17.7,17.2,17.3,6600
CMT,20260813,10,10,10,10,400
CNC,20260813,28.5,28.5,28.5,28.5,500
CNN,20260813,63.2,63.2,55,55,4100
CNT,20260813,5.4,5.4,5.3,5.3,1100
CQN,20260813,30.2,30.5,30,30.4,55500
CSI,20260813,15.8,15.8,15.2,15.8,1400
CTX,20260813,4.9,5.1,4.9,5,500
CVN,20260813,1.4,1.4,1.2,1.3,171100
DBM,20260813,26.1,27.6,26.1,27.6,200
DC1,20260813,5.2,5.6,5.2,5.6,10200
DDG,20260813,1,1.1,1,1,122200
DDV,20260813,18.6,19,18.4,18.5,262500
DFC,20260813,28.5,28.5,28.5,28.5,700
DGT,20260813,3.7,3.8,3.6,3.6,34000
DHB,20260813,11.4,11.6,11.2,11.2,50800
DHD,20260813,26.8,26.8,26.5,26.5,12200
DID,20260813,3.3,3.3,3.3,3.3,2400
DMN,20260813,8.2,8.6,8.2,8.6,200
DND,20260813,7.2,7.2,7.2,7.2,100
DNE,20260813,8.2,8.2,8.2,8.2,200
DNL,20260813,15.6,15.6,15.6,15.6,200
DNW,20260813,30.5,35.3,30.5,35.3,1100
DRG,20260813,8.4,8.4,8.4,8.4,200
DRI,20260813,13.6,13.8,13.5,13.5,631600
DSH,20260813,12.8,12.9,12.6,12.7,81100
DTI,20260813,1.8,2,1.8,1.9,29800
DTP,20260813,60,60,56.2,58.3,6100
DVN,20260813,18.8,18.8,18.5,18.6,14400
DWS,20260813,14.2,14.2,14.1,14.1,2100
EFI,20260813,2.6,2.8,2.5,2.6,51500
EIC,20260813,21.5,21.5,19,19,200
EIN,20260813,1.7,1.7,1.7,1.7,1300
F88,20260813,67.3,67.6,66.4,66.8,157000
FIC,20260813,15.2,17.3,15.2,17.3,23700
FOC,20260813,63.5,63.5,62.4,62.4,21800
FOX,20260813,66.3,66.4,64.8,65.4,63200
FT1,20260813,45,45.6,45,45.6,2400
G36,20260813,9.2,9.2,9,9.2,25100
GCF,20260813,19.1,19.2,19,19,7400
GDA,20260813,12.5,12.5,12.3,12.4,12000
GDH,20260813,7.4,7.9,7.2,7.9,2100
GMC,20260813,4.4,4.4,4.4,4.4,500
GPC,20260813,2,2,1.9,1.9,20000
GSM,20260813,24.9,24.9,24.9,24.9,200
H11,20260813,10.7,10.7,10.7,10.7,200
HAC,20260813,9.2,9.2,9.2,9.2,100
HBC,20260813,4.2,4.2,4.1,4.2,309300
HBD,20260813,26,26,26,26,100
HBH,20260813,6,6,6,6,100
HD6,20260813,8.2,8.2,7.7,7.7,8700
HDM,20260813,33.3,33.3,33.3,33.3,400
HEC,20260813,28.8,28.8,28.8,28.8,200
HEP,20260813,11,11.1,11,11.1,5100
HHB,20260813,30,30,30,30,500
HHG,20260813,0.8,0.8,0.7,0.8,20400
HIO,20260813,7.3,7.3,7.3,7.3,1300
HJC,20260813,6.9,6.9,6.9,6.9,100
HMG,20260813,6.5,6.5,6.5,6.5,100
HMS,20260813,30,30.3,30,30.3,800
HNB,20260813,12.5,13.5,12.5,12.5,2300
HND,20260813,9.6,9.7,9.5,9.5,15000
HNG,20260813,6.6,6.7,6.5,6.7,520500
HNM,20260813,8.1,8.2,8,8.1,221600
HPD,20260813,16.4,16.4,16.3,16.3,1200
HPO,20260813,15,15,15,15,4900
HPP,20260813,57,65,57,65,6200
HPW,20260813,24,24,24,24,1000
HRB,20260813,35.4,35.5,35.4,35.4,2400
HSV,20260813,4.1,4.1,4,4,400
HTE,20260813,2.8,2.8,2.7,2.8,17500
HTM,20260813,8.7,8.7,8.7,8.7,400
HU3,20260813,3,3,2.7,2.8,28600
HU6,20260813,4.3,4.3,4.3,4.3,100
HVX,20260813,2.4,2.4,2.4,2.4,1100
HWS,20260813,14.7,14.7,14.7,14.7,200
ICF,20260813,1.8,2,1.7,2,8500
ICN,20260813,25.9,26,25.5,25.5,4800
ILA,20260813,6.7,6.9,6.1,6.1,89400
ILS,20260813,19.4,19.8,19.4,19.5,2900
IST,20260813,33.8,33.8,33.8,33.8,2200
ITS,20260813,3.4,3.4,3.4,3.4,1100
KCB,20260813,10,10,10,10,11200
KGM,20260813,5.5,5.5,5.4,5.4,200
KHD,20260813,22,22,22,22,200
KTL,20260813,25,25,22.2,22.2,3900
KVC,20260813,1.1,1.2,1.1,1.1,502400
L35,20260813,3,3,3,3,200
L43,20260813,1.7,1.7,1.5,1.5,400
LAI,20260813,8.4,8.4,8.3,8.3,400
LDW,20260813,28,28.7,28,28.7,300
LIC,20260813,32.1,34.5,32.1,34,9800
LKW,20260813,30.7,31.4,30.7,31.4,500
LLM,20260813,38.4,40.5,37.2,38.7,25900
LMC,20260813,5.8,5.8,5.8,5.8,100
LNC,20260813,7.6,7.6,7.6,7.6,100
LPT,20260813,7.8,7.8,7.8,7.8,500
LSG,20260813,33.1,35.1,33.1,34.1,25900
M10,20260813,20.3,20.5,20.3,20.5,2000
